,2017-01-01,2017-02-01,2017-03-01,2017-04-01,2017-05-01,2017-06-01,2017-07-01,2017-08-01,2017-09-01,2017-10-01,2017-11-01,2017-12-01,2018-01-01,2018-02-01,2018-03-01,2018-04-01,2018-05-01,2018-06-01,2018-07-01,2018-08-01,2018-09-01,2018-10-01,2018-11-01,2018-12-01,2019-01-01,2019-02-01,2019-03-01,2019-04-01,2019-05-01,2019-06-01,2019-07-01,2019-08-01,2019-09-01,2019-10-01,2019-11-01,2019-12-01,2020-01-01
EMR,58.21,58.21,58.21,58.79,58.79,58.79,58.79,58.79,58.76,58.32,58.32,58.32,58.32,58.32,58.32,58.24,58.24,58.24,58.24,58.2,58.2,57.91,57.91,57.34,59.77,59.77,60.21,60.68,60.68,60.68,60.68,60.68,60.68,60.68,60.68,23.47,23.47
ETR,68.06,68.06,68.06,67.84,65.96,65.96,65.96,65.96,65.96,65.73,65.73,65.73,65.73,65.73,65.73,65.73,65.73,65.79,65.79,65.79,65.64,65.64,65.74,66.18,66.18,66.18,66.18,65.62,65.18,65.18,65.18,65.18,65.18,65.18,66.37,66.83,34.77
EOG,50.09,50.09,50.09,54.99,54.99,54.99,54.99,54.99,54.99,56.4,56.4,56.4,56.4,56.4,56.4,56.4,56.4,56.4,56.4,60.3,60.3,60.26,60.34,60.34,60.34,60.34,60.34,60.34,60.34,60.34,60.34,60.34,60.34,60.34,60.4,44.79,44.74
EFX,46.8,46.8,46.8,46.55,46.55,45.58,46.55,45.58,45.58,41.46,41.46,41.46,41.46,41.46,41.46,41.46,41.46,41.46,41.41,41.41,41.41,41.41,41.36,41.36,41.36,41.36,41.36,41.36,42.08,42.41,42.41,42.41,42.41,42.41,42.41,40.34,28.24
EQIX,57.74,57.74,57.74,57.74,58.24,58.24,58.24,58.24,58.24,58.35,58.35,58.35,58.35,58.35,58.35,58.35,58.35,58.35,59.38,59.38,59.38,59.38,59.38,59.38,59.38,59.38,59.13,59.13,59.13,59.13,59.13,55.58,55.58,55.58,55.66,56.06,16.18
EQR,51.18,51.18,51.18,53.26,53.26,53.26,53.26,53.26,53.26,53.24,53.84,53.84,53.84,53.84,53.84,57.52,57.52,57.52,57.52,57.52,57.52,57.52,57.52,57.47,57.47,57.47,57.47,57.47,58.41,58.41,58.41,58.41,58.41,58.41,58.62,56.74,15.84
ESS,47.72,47.72,47.72,49.04,49.04,49.04,49.04,49.04,49.04,48.36,48.36,48.36,48.36,48.36,48.36,48.36,48.36,48.36,48.36,48.36,51.78,51.78,51.78,51.78,51.78,51.78,51.78,51.78,52.26,52.26,52.26,52.26,52.26,52.26,53.71,51.59,16.16
EL,66.15,66.15,66.15,66.15,66.73,66.73,66.73,66.73,65.33,63.12,63.12,63.12,63.56,63.56,63.56,63.56,62.99,62.99,62.99,62.99,62.99,63.76,61.81,61.81,61.81,61.81,61.81,61.81,61.81,61.81,61.21,61.21,65.19,64.89,64.89,64.23,27.42
RE,47.41,47.41,47.41,47.41,47.41,47.41,47.41,47.41,47.41,46.88,46.88,46.88,46.88,46.88,46.88,46.88,46.88,46.88,46.88,46.88,46.88,46.88,46.68,46.57,46.57,46.32,46.26,46.26,46.26,46.26,46.26,46.26,46.26,46.26,46.36,46.9,27.13
ES,68.87,68.87,68.87,68.87,70.32,70.32,70.32,72.76,72.76,72.42,72.42,72.42,72.42,72.42,71.57,71.57,71.57,74.83,74.83,74.83,74.83,74.83,74.93,74.67,74.67,74.67,74.67,74.67,74.67,74.67,74.67,74.67,74.67,74.67,80.87,80.67,24.02
EXC,71.63,71.63,71.63,71.63,71.9,71.9,71.9,71.9,71.9,71.09,71.09,70.25,70.25,70.25,70.25,70.25,70.25,70.25,70.25,70.25,70.25,70.25,70.05,70.05,71.93,71.93,71.65,71.65,71.65,71.65,71.65,71.65,71.65,71.65,71.67,71.96,25.94
EXPE,46.45,46.45,46.45,46.45,46.42,46.42,46.42,46.46,45.2,45.63,45.63,45.63,45.63,45.63,45.63,45.63,45.63,45.63,45.63,45.63,42.75,42.75,42.85,42.85,42.85,42.8,42.23,42.23,42.23,42.23,42.23,42.23,42.23,42.23,47.57,46.37,23.17
EXPD,51.76,51.76,51.76,51.76,51.76,51.76,51.76,51.76,51.76,52.02,52.02,52.02,52.02,52.02,56.52,56.52,56.52,56.52,56.52,56.52,56.52,56.52,56.62,56.67,56.67,56.67,57.3,57.3,57.3,57.3,57.3,55.98,55.98,55.98,56.01,54.96,18.94
EXR,41.67,41.67,41.67,41.67,41.67,41.67,41.67,41.67,41.67,42.19,42.19,42.19,42.19,42.18,42.18,42.18,42.18,42.18,42.18,42.18,42.18,42.1,42.18,42.18,42.18,42.18,42.18,45.18,45.18,54.88,54.88,54.88,54.88,54.88,54.72,52.88,15.74
XOM,63.76,63.76,64.15,64.15,64.15,64.15,64.15,64.15,64.15,62.91,62.91,62.9,62.9,62.61,62.61,64.11,64.11,64.11,64.11,64.11,63.97,63.97,63.97,63.97,63.97,63.97,63.97,63.97,63.97,63.97,63.97,63.97,63.97,63.97,63.65,37.46,37.46
